OTU,Phylum,Class,Order,Genus
Otu42,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu43,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu44,Ascomycota,Dothideomycetes,Botryosphaeriales,Neofusicoccum
Otu45,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu46,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu47,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu48,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu49,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu5,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu50,Ascomycota,Sordariomycetes,Diaporthales,Diaporthe
Otu51,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu52,Ascomycota,Dothideomycetes,Capnodiales,Cladosporium
Otu53,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu54,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu55,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu56,Ascomycota,Ascomycota class,Ascomycota ord.,Ascomycota gen.
Otu57,Ascomycota,Sordariomycetes,Diaporthales,Diaporthales gen.
Otu58,Ascomycota,Sordariomycetes,Diaporthales,Diaporthales gen.
Otu59,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces
Otu6,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu60,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu61,Ascomycota,Sordariomycetes,Diaporthales,Diaporthe
Otu62,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces
Otu63,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus
Otu64,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu65,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu66,Ascomycota,Dothideomycetes,Pleosporales,Curvularia
Otu67,Ascomycota,Dothideomycetes,Pleosporales,Curvularia
Otu68,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu69,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu7,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu7,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu70,Ascomycota,Dothideomycetes,Botryosphaeriales,Neofusicoccum
Otu71,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces
Otu72,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu73,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu74,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu75,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu76,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu77,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu78,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu79,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu8,Ascomycota,Sordariomycetes,Hypocreales,Fusarium
Otu80,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium
Otu81,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu81,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia
Otu82,Ascomycota,Sordariomycetes,Hypocreales,Colletotrichum
Otu83,Ascomycota,Sordariomycetes,Diaporthales,Diaporthe
Otu84,Ascomycota,Sordariomycetes,Xylariales,Xylariales gen.
Otu85,Ascomycota,Dothideomycetes,Capnodiales,Cladosporium
Otu86,Ascomycota,Leotiomycetes,Leotiomycetes ord.,Leotiomycetes gen.
Otu87,Ascomycota,Sordariomycetes,Xylariales,Xylariales gen.
Otu88,Ascomycota,Sordariomycetes,Xylariales,Xylariales gen.
Otu89,Ascomycota,Sordariomycetes,Xylariales,Xylariales gen.
Otu9,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu90,Ascomycota,Dothideomycetes,Capnodiales,Cladosporium
Otu91,Ascomycota,Sordariomycetes,Hypocreales,Colletotrichum
Otu92,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu93,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu94,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales gen.
Otu95,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu96,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales gen.
Otu97,Ascomycota,Sordariomycetes,Sordariomycetes ord.,Sordariomycetes gen.
Otu98,Ascomycota,Sordariomycetes,Xylariales,Xylariales gen.
Otu99,Ascomycota,Sordariomycetes,Xylariales,Xylariales gen.
