Serial No,Direct Sequencing or Culture,Clone
928728-17,Culture,
928728-18,Culture,
928728-18.2,Culture,
928728-19,Culture,
928728-20,Culture,
928728-20.2,Culture,
928728-21,Direct,
928728-22,Direct,
928728-23,Direct,
928728-24,Direct,
928728-25,Direct,
928728-26,Direct,
928728-27,Direct,
928728-28,Direct,
928728-29,Direct,
928728-30,Direct,
928728-31,Direct,
928728-32,Direct,
928728-32--1,Direct,Y
928728-33,Direct,
928728-34,Direct,
928728-35,Direct,
928728-36,Direct,
928728-37,Direct,
928728-38,Direct,
928728-39,Direct,
928728-40,Direct,
928728-41,Control,
928728-41.2,Control,
928728-42,Control,
928739-01,Culture,
928739-02,Culture,
928739-03,Culture,
928739-04,Culture,
928739-05,Culture,
928739-06,Culture,
928739-07,Culture,
928739-08,Culture,
928739-09,Culture,
928739-10,Culture,
928739-11,Culture,
928739-11.2,Culture,
928739-12,Culture,
928739-13,Culture,
928739-14,Culture,
928739-15,Culture,
928739-16,Culture,
928739-17,Culture,
928739-18,Culture,
928739-19,Culture,
928739-20,Culture,
928739-21,Direct,
928739-22,Direct,
928739-23,Direct,
928739-24,Direct,
928739-25,Direct,
928739-26,Direct,
928739-26--1,Direct,Y
928739-26--11,Direct,Y
928739-26--12,Direct,Y
928739-26--2,Direct,Y
928739-26--6,Direct,Y
928739-26--8,Direct,Y
928739-27,Direct,
928739-28,Direct,
928739-29,Direct,
928739-30,Direct,
928739-31,Direct,
928739-32,Direct,
928739-33,Direct,
928739-34,Direct,
928739-35,Direct,
928739-36,Direct,
928739-37,Direct,
928739-38,Direct,
928739-39,Direct,
928739-40,Direct,
928739-41,Control,
928739-41.2,Control,
928739-42,Control,
928740-01,Culture,
928740-02,Culture,
928740-03,Culture,
928740-03.2,Culture,
928740-04,Culture,
928740-05,Culture,
928740-06,Culture,
928740-07,Culture,
928740-08,Culture,
928740-09,Culture,
928740-09.2,Culture,
928740-09.3,Culture,
928740-09.4,Culture,
928740-10,Culture,
928740-11,Culture,
928740-11.2,Culture,
928740-12,Culture,
928740-12.2,Culture,
928740-12.3,Culture,
928740-13,Culture,
928740-14,Culture,
928740-14.2,Culture,
928740-15,Culture,
928740-16,Culture,
928740-17,Culture,
928740-18,Culture,
928740-19,Culture,
928740-20,Culture,
928740-21,Direct,
928740-22,Direct,
928740-23,Direct,
928740-24,Direct,
928740-25,Direct,
928740-26,Direct,
928740-26--1,Direct,Y
928740-26--11,Direct,Y
928740-26--2,Direct,Y
928740-26--4,Direct,Y
928740-26--5,Direct,Y
928740-26--7,Direct,Y
928740-26--9,Direct,Y
928740-27,Direct,
928740-28,Direct,
928740-29,Direct,
928740-30,Direct,
928740-31,Direct,
928740-32,Direct,
928740-33,Direct,
928740-34,Direct,
928740-35,Direct,
928740-36,Direct,
928740-37,Direct,
928740-38,Direct,
928740-39,Direct,
928740-40,Direct,
928740-41,Control,
928740-41.2,Control,
928740-42,Control,
944548-01,Culture,
944548-02,Culture,
944548-03,Culture,
944548-04,Culture,
944548-05,Culture,
944548-06,Culture,
944548-07,Culture,
944548-08,Culture,
944548-09,Culture,
944548-10,Culture,
944548-11,Culture,
944548-11.2,Culture,
944548-11.3,Culture,
944548-11.4,Culture,
944548-12,Culture,
944548-13,Culture,
944548-14,Culture,
944548-15,Culture,
944548-16,Culture,
944548-17,Culture,
944548-18,Culture,
944548-19,Culture,
944548-20,Culture,
944548-21,Direct,
944548-22,Direct,
944548-23,Direct,
944548-24,Direct,
944548-24.2,Direct,
944548-24.3,Direct,
944548-25,Direct,
944548-26,Direct,
944548-27,Direct,
944548-28,Direct,
944548-29,Direct,
944548-30,Direct,
944548-31,Control,
944548-32,Control,
944548-33,Control,
