Serial No,Direct Sequencing or Culture,Clone
880079-26,Direct,
880079-27,Direct,
880079-28,Direct,
880079-29,Direct,
880079-30,Direct,
880079-31,Direct,
880079-32,Direct,
880079-33,Direct,
880079-34,Direct,
880079-35,Direct,
880079-36,Direct,
880079-37,Direct,
880079-38,Direct,
880079-39,Direct,
880079-40,Direct,
880079-41,Control,
880079-42,Control,
880116-01,Culture,
880116-02,Culture,
880116-02.2,Culture,
880116-03,Culture,
880116-04,Culture,
880116-04.2,Culture,
880116-04.3,Culture,
880116-05,Culture,
880116-06,Culture,
880116-07,Culture,
880116-07.2,Culture,
880116-08,Culture,
880116-09,Culture,
880116-09.2,Culture,
880116-10,Culture,
880116-10.2,Culture,
880116-11,Culture,
880116-12,Culture,
880116-13,Culture,
880116-14,Culture,
880116-15,Culture,
880116-16,Culture,
880116-17,Culture,
880116-18,Culture,
880116-19,Culture,
880116-20,Culture,
880116-21,Direct,
880116-22,Direct,
880116-23,Direct,
880116-24,Direct,
880116-25,Direct,
880116-26,Direct,
880116-27,Direct,
880116-28,Direct,
880116-29,Direct,
880116-30,Direct,
880116-31,Direct,
880116-32,Direct,
880116-33,Direct,
880116-34,Direct,
880116-34--6,Direct,Y
880116-35,Direct,
880116-36,Direct,
880116-37,Direct,
880116-38,Direct,
880116-38--2,Direct,Y
880116-39,Direct,
880116-40,Direct,
880116-41,Control,
880116-41.2,Control,
880116-42,Control,
880127-01,Culture,
880127-02,Culture,
880127-03,Culture,
880127-04,Culture,
880127-05,Culture,
880127-06,Culture,
880127-07,Culture,
880127-08,Culture,
880127-09,Culture,
880127-10,Culture,
880127-11,Culture,
880127-12,Culture,
880127-13,Culture,
880127-14,Culture,
880127-15,Culture,
880127-16,Culture,
880127-16,Culture,
880127-16,Culture,
880127-17,Culture,
880127-18,Culture,
880127-19,Culture,
880127-20,Culture,
880127-21,Direct,
880127-22,Direct,
880127-23,Direct,
880127-24,Direct,
880127-25,Direct,
880127-26,Direct,
880127-27,Direct,
880127-28,Direct,
880127-29,Direct,
880127-30,Direct,
880127-31,Direct,
880127-32,Direct,
880127-33,Direct,
880127-34,Direct,
880127-35,Direct,
880127-36,Direct,
880127-37,Direct,
880127-38,Direct,
880127-39,Direct,
880127-40,Direct,
880127-41,Control,
880127-42,Control,
880138-01,Culture,
880138-01.2,Culture,
880138-02,Culture,
880138-03,Culture,
880138-04,Culture,
880138-05,Culture,
880138-05.2,Culture,
880138-05.3,Culture,
880138-05.4,Culture,
880138-06,Culture,
880138-07,Culture,
880138-07.2,Culture,
880138-08,Culture,
880138-09,Culture,
880138-09.2,Culture,
880138-10,Culture,
880138-10.2,Culture,
880138-11,Culture,
880138-11.2,Culture,
880138-12,Culture,
880138-13,Culture,
880138-14,Culture,
880138-15,Culture,
880138-16,Culture,
880138-17,Culture,
880138-18,Culture,
880138-19,Culture,
880138-20,Culture,
880138-20.2,Culture,
880138-21,Direct,
880138-22,Direct,
880138-23,Direct,
880138-24,Direct,
880138-25,Direct,
880138-26,Direct,
880138-27,Direct,
880138-28,Direct,
880138-29,Direct,
880138-30,Direct,
880138-31,Direct,
880138-32,Direct,Y
880138-32,Direct,
880138-32--1,Direct,Y
880138-32--2,Direct,Y
880138-32--3,Direct,Y
880138-32--4,Direct,Y
880138-32--5,Direct,Y
880138-32--6,Direct,Y
880138-32--7,Direct,Y
880138-32--8,Direct,Y
880138-32--9,Direct,Y
880138-32--10,Direct,Y
880138-32--11,Direct,Y
880138-32--12,Direct,Y
880138-33,Direct,
880138-34,Direct,
880138-35,Direct,
880138-36,Direct,
880138-37,Direct,Y
880138-37--1,Direct,Y
880138-37--2,Direct,Y
880138-37--3,Direct,Y
880138-37--4,Direct,Y
880138-37--5,Direct,Y
880138-37--6,Direct,Y
880138-37--7,Direct,Y
880138-37--8,Direct,Y
880138-37--9,Direct,Y
880138-37--10,Direct,Y
880138-37--11,Direct,Y
880138-37--12,Direct,Y
880138-38,Direct,
880138-39,Direct,Y
880138-39--1,Direct,Y
880138-39--2,Direct,Y
880138-39--3,Direct,Y
880138-39--4,Direct,Y
880138-39--5,Direct,Y
880138-39--6,Direct,Y
880138-39--7,Direct,Y
880138-39--8,Direct,Y
880138-39--9,Direct,Y
880138-39--10,Direct,Y
880138-39--11,Direct,Y
880138-39--12,Direct,Y
880138-40,Direct,
880138-41,Control,
880138-42,Control,
880149-01,Culture,
880149-01.2,Culture,
880149-02,Culture,
880149-03,Culture,
880149-04,Culture,
880149-04.2,Culture,
880149-05,Culture,
880149-05.2,Culture,
880149-06,Culture,
880149-07,Culture,
880149-08,Culture,
880149-09,Culture,
880149-10,Culture,
880149-10.1,Culture,
880149-11,Culture,
880149-11.2,Culture,
880149-12,Culture,
880149-13,Culture,
880149-14,Culture,
880149-15,Culture,
880149-16,Culture,
880149-17,Culture,
880149-18,Culture,
880149-19,Culture,
880149-20,Culture,
880149-21,Direct,
880149-22,Direct,
880149-23,Direct,
880149-24,Direct,
880149-25,Direct,
880149-26,Direct,
880149-27,Direct,
880149-27--04,Direct,Y
880149-27--06,Direct,Y
880149-27--07,Direct,Y
880149-27--08,Direct,Y
880149-27--10,Direct,Y
880149-27--12,Direct,Y
880149-28,Direct,
880149-28--12,Direct,Y
880149-28--14,Direct,Y
880149-28--18,Direct,Y
880149-28--19,Direct,Y
880149-29,Direct,
880149-30,Direct,
880149-31,Direct,
880149-32,Direct,
880149-33,Direct,
880149-34,Direct,
880149-35,Direct,
880149-36,Direct,
880149-37,Direct,
880149-38,Direct,
880149-39,Direct,
880149-40,Direct,
880149-40--05,Direct,Y
880149-40--08,Direct,Y
880149-40--10,Direct,Y
880149-40--14,Direct,Y
880149-40--16,Direct,Y
880149-40--17,Direct,Y
880149-40--19,Direct,Y
880149-40--21,Direct,Y
880149-40--22,Direct,Y
880149-41,Control,
880149-42,Control,
880161-01,Culture,
880161-02,Culture,
880161-03,Culture,
880161-03.2,Culture,
880161-04,Culture,
880161-05,Culture,
880161-06,Culture,
880161-07,Culture,
880161-08,Culture,
880161-09,Culture,
880161-10,Culture,
880161-11,Culture,
880161-12,Culture,
880161-13,Culture,
880161-13.2,Culture,
880161-14,Culture,
880161-15,Culture,
880161-16,Culture,
880161-17,Culture,
880161-18,Culture,
880161-18.2,Culture,
880161-19,Culture,
880161-20,Culture,
880161-20.2,Culture,
880161-21,Direct,
880161-21--11,Direct,Y
880161-21--13,Direct,Y
880161-21--14,Direct,Y
880161-21--15,Direct,Y
880161-21--16,Direct,Y
880161-21--17,Direct,Y
880161-22,Direct,
880161-23,Direct,
880161-24,Direct,
880161-24--11,Direct,Y
880161-24--14,Direct,Y
880161-24--15,Direct,Y
880161-24--17,Direct,Y
880161-24--18,Direct,Y
880161-24--19,Direct,Y
880161-24--21,Direct,Y
880161-24--22,Direct,Y
880161-25,Direct,
880161-26,Direct,
880161-26--11,Direct,Y
880161-26--12,Direct,Y
880161-26--13,Direct,Y
880161-26--14,Direct,Y
880161-26--15,Direct,Y
880161-26--17,Direct,Y
880161-26--18,Direct,Y
880161-26--19F,Direct,Y
880161-26--19R,Direct,Y
880161-26--21,Direct,Y
880161-26--22,Direct,Y
880161-27,Direct,
880161-28,Direct,
880161-29,Direct,
880161-29--01,Direct,Y
880161-29--04,Direct,Y
880161-29--12,Direct,Y
880161-29--17,Direct,Y
880161-29--18,Direct,Y
880161-29--19,Direct,Y
880161-30,Direct,
880161-31,Direct,
880161-32,Direct,
880161-33,Direct,
880161-34,Direct,
880161-35,Direct,
880161-36,Direct,
880161-37,Direct,
880161-38,Direct,
880161-38--11,Direct,Y
880161-38--12,Direct,Y
880161-38--13,Direct,Y
880161-38--14,Direct,Y
880161-38--15,Direct,Y
880161-38--16,Direct,Y
880161-38--18,Direct,Y
880161-38--19,Direct,Y
880161-38--20,Direct,Y
880161-38--21,Direct,Y
880161-39,Direct,
880161-40,Direct,
880161-41,Control,
880161-42,Control,
880172-01,Culture,
880172-02,Culture,
880172-03,Culture,
880172-04,Culture,
880172-05,Culture,
880172-06,Culture,
880172-07,Culture,
880172-08,Culture,
880172-08.2,Culture,
880172-09,Culture,
880172-10,Culture,
880172-11,Culture,
880172-12,Culture,
880172-13,Culture,
880172-14,Culture,
880172-14.2,Culture,
880172-15,Culture,
880172-16,Culture,
880172-17,Culture,
880172-17-1,Culture,
880172-17-1,Culture,
880172-17-2,Culture,
880172-18,Culture,
880172-19,Culture,
880172-20,Culture,
880172-21,Direct,
880172-22,Direct,
880172-22--11,Direct,Y
880172-22--12,Direct,Y
880172-22--15,Direct,Y
880172-22--17,Direct,Y
880172-22--18,Direct,Y
880172-22--19,Direct,Y
880172-22--20,Direct,Y
880172-22--21,Direct,Y
880172-23,Direct,
880172-24,Direct,
880172-24--12,Direct,Y
880172-24--15,Direct,Y
880172-24--16,Direct,Y
880172-24--20,Direct,Y
880172-24--21,Direct,Y
880172-24--24,Direct,Y
880172-25,Direct,
880172-26,Direct,
880172-27,Direct,
880172-27--11,Direct,Y
880172-27--12,Direct,Y
880172-27--14,Direct,Y
880172-27--15,Direct,Y
880172-27--17,Direct,Y
880172-27--21,Direct,Y
880172-28,Direct,
880172-29,Direct,
880172-30,Direct,
880172-31,Direct,
880172-31--01,Direct,Y
880172-31--04,Direct,Y
880172-31--10,Direct,Y
880172-31--14,Direct,Y
880172-31--19,Direct,Y
880172-31--20,Direct,Y
880172-31--21,Direct,Y
880172-31--22,Direct,Y
880172-32,Direct,
880172-33,Direct,
880172-33--11,Direct,Y
880172-33--12,Direct,Y
880172-33--13,Direct,Y
880172-33--14,Direct,Y
880172-33--15,Direct,Y
880172-33--16,Direct,Y
880172-33--17,Direct,Y
880172-33--20,Direct,Y
880172-33--22,Direct,Y
880172-33--23,Direct,Y
880172-34,Direct,
880172-35,Direct,
880172-36,Direct,
880172-37,Direct,
880172-38,Direct,
880172-39,Direct,
880172-40,Direct,
880172-41,Control,
880172-42,Control,
880264-01,Culture,
880264-02,Culture,
880264-03,Culture,
880264-04,Culture,
880264-05,Culture,
880264-06,Culture,
880264-07,Culture,
880264-08,Culture,
880264-09,Culture,
880264-10,Culture,
880264-11,Culture,
880264-12,Culture,
880264-12.2,Culture,
880264-13,Culture,
880264-14,Culture,
880264-15,Culture,
880264-16,Culture,
880264-17,Culture,
